Cluster,Q25_1_numeric,Q25_2_numeric,Q25_3_numeric,Q25_4_numeric,Q25_5_numeric,Q25_6_numeric,Q25_7_numeric,Q25_8_numeric,Q25_9_numeric,Q25_10_numeric
0,2.8125,2.71875,4.09375,3.5625,3.6875,2.75,2.6875,2.625,2.78125,2.71875
1,1.4655172413793103,1.3620689655172413,2.5,1.6551724137931034,2.189655172413793,1.1724137931034482,1.103448275862069,1.1379310344827587,1.4482758620689655,1.6206896551724137
2,1.8955223880597014,1.7014925373134329,4.17910447761194,3.388059701492537,3.8805970149253732,1.6865671641791045,1.3432835820895523,1.1343283582089552,1.8059701492537314,1.7462686567164178
